Role,Difficulty,Question,Answer
Role,Difficulty,Question,Answer
Software Engineer,Easy,Explain Object-Oriented Programming (OOP).,"Object-Oriented Programming (OOP) is a programming paradigm based on objects. Its four pillars are Encapsulation, Abstraction, Inheritance, and Polymorphism, improving code reusability and maintainability."
Software Engineer,Easy,What is a HashMap?,"HashMap stores key-value pairs using hashing and provides average O(1) insertion, deletion, and lookup."
Software Engineer,Easy,Difference between Array and Linked List?,"Arrays provide fast random access using contiguous memory, whereas Linked Lists use nodes connected by pointers, making insertion and deletion easier."
Software Engineer,Easy,What is recursion?,Recursion is a programming technique where a function calls itself until a base condition is reached.
Software Engineer,Easy,What is time complexity?,Time complexity measures how the execution time of an algorithm grows with input size using Big O notation.
Software Engineer,Medium,Difference between BFS and DFS?,"BFS explores nodes level by level using a queue, whereas DFS explores deeply using recursion or a stack."
Software Engineer,Medium,Explain DBMS normalization.,"Normalization organizes database tables to reduce redundancy using 1NF, 2NF, 3NF, and BCNF."
Software Engineer,Medium,What are ACID properties?,"Atomicity, Consistency, Isolation, and Durability ensure reliable database transactions."
Software Engineer,Medium,Explain multithreading.,Multithreading allows multiple threads to execute concurrently within a process.
Software Engineer,Medium,What is Dynamic Programming?,Dynamic Programming stores solutions to overlapping subproblems to improve efficiency.
Software Engineer,Hard,Design an LRU Cache.,Implement using a HashMap and Doubly Linked List for O(1) get() and put() operations.
Software Engineer,Hard,Explain CAP Theorem.,"Distributed systems can guarantee only two of Consistency, Availability, and Partition Tolerance simultaneously."
Software Engineer,Hard,How would you optimize a slow application?,"Use profiling, optimize algorithms, improve queries, implement caching, and scale services."
Software Engineer,Hard,Design a distributed logging system.,"Use Kafka, Elasticsearch, Logstash, Kibana, distributed storage, replication, monitoring, and fault tolerance."
Software Engineer,Hard,Explain Microservices Architecture.,Microservices divide applications into independently deployable services communicating through APIs.
Python Developer,Easy,Difference between List and Tuple?,Lists are mutable whereas tuples are immutable.
Python Developer,Easy,What are Python decorators?,Decorators extend function behavior without modifying source code.
Python Developer,Easy,What is a dictionary?,A dictionary stores key-value pairs with fast lookup using hashing.
Python Developer,Easy,Explain lambda functions.,Lambda functions are anonymous functions consisting of a single expression.
Python Developer,Easy,What are Python modules?,"Modules are reusable Python files containing functions, variables, and classes."
Python Developer,Medium,Explain generators.,"Generators use yield to produce values lazily, reducing memory usage."
Python Developer,Medium,Explain *args and **kwargs.,*args accepts variable positional arguments whereas **kwargs accepts variable keyword arguments.
