Role,Difficulty,Question,Answer
Role,Difficulty,Question,Answer
Software Engineer,Easy,Explain Object-Oriented Programming (OOP).,"OOP is a programming paradigm based on objects. Its four pillars are Encapsulation, Abstraction, Inheritance, and Polymorphism. It improves code reusability and maintainability."
Software Engineer,Easy,What is a HashMap?,"HashMap stores key-value pairs using hashing and provides average O(1) insertion, deletion, and lookup."
Software Engineer,Easy,What is the difference between Array and Linked List?,"Arrays use contiguous memory with fast random access, while Linked Lists use nodes connected through pointers, making insertion and deletion easier."
Software Engineer,Easy,What is recursion?,Recursion is a technique where a function calls itself to solve smaller subproblems until a base condition is reached.
Software Engineer,Easy,What is time complexity?,Time complexity measures how the execution time of an algorithm grows with input size and is represented using Big O notation.
Software Engineer,Medium,Difference between BFS and DFS?,"BFS traverses level by level using a queue, whereas DFS explores deeply using recursion or a stack."
Software Engineer,Medium,Explain DBMS normalization.,"Normalization reduces redundancy and improves data integrity through normal forms such as 1NF, 2NF, 3NF, and BCNF."
Software Engineer,Medium,What are ACID properties?,"Atomicity, Consistency, Isolation, and Durability ensure reliable database transactions."
Software Engineer,Medium,What is multithreading?,"Multithreading enables multiple threads within a process to execute concurrently, improving responsiveness."
Software Engineer,Medium,What is Dynamic Programming?,Dynamic Programming solves overlapping subproblems by storing previously computed results.
Software Engineer,Hard,Design an LRU Cache.,Use a HashMap with a Doubly Linked List to achieve O(1) get() and put() operations.
Software Engineer,Hard,Explain CAP Theorem.,"A distributed system can guarantee only two of Consistency, Availability, and Partition Tolerance simultaneously."
Software Engineer,Hard,How would you optimize a slow application?,"Profile the application, optimize algorithms, improve database queries, implement caching, and scale horizontally."
Software Engineer,Hard,Design a URL Shortener.,"Use unique ID generation, Base62 encoding, distributed databases, caching, and load balancing."
Software Engineer,Hard,Explain Microservices Architecture.,Microservices divide an application into independently deployable services communicating via APIs or message queues.
Python Developer,Easy,What is the difference between List and Tuple?,"Lists are mutable, whereas tuples are immutable."
Python Developer,Easy,What are Python decorators?,Decorators modify the behavior of functions without changing their source code.
Python Developer,Easy,What is a dictionary?,A dictionary stores key-value pairs and provides fast lookups using hashing.
Python Developer,Easy,Explain lambda functions.,Lambda functions are anonymous single-expression functions.
Python Developer,Easy,What are Python modules?,"Modules are reusable Python files containing functions, classes, and variables."
Python Developer,Medium,Explain generators.,"Generators use yield to produce values lazily, making them memory efficient."
Python Developer,Medium,Explain *args and **kwargs.,"*args accepts variable positional arguments, while **kwargs accepts variable keyword arguments."
