Role,Difficulty,Question,Answer
Role,Difficulty,Question,Answer
Software Engineer,Easy,What is Object-Oriented Programming (OOP)?,"Object-Oriented Programming (OOP) is a programming paradigm based on objects. The four pillars are Encapsulation, Abstraction, Inheritance, and Polymorphism. OOP improves code reusability, maintainability, and scalability."
Software Engineer,Easy,What is the difference between Array and Linked List?,"Arrays store elements in contiguous memory and allow fast random access, whereas Linked Lists store elements in separate nodes connected by pointers, making insertion and deletion more efficient."
Software Engineer,Easy,What is a HashMap?,"HashMap is a data structure that stores key-value pairs using hashing. It provides average O(1) time complexity for insertion, deletion, and lookup."
Software Engineer,Easy,What is recursion?,Recursion is a programming technique where a function calls itself to solve smaller instances of a problem. Every recursive function should have a base case to stop execution.
Software Engineer,Easy,What is time complexity?,"Time complexity measures how the running time of an algorithm grows with input size. It is represented using Big O notation such as O(1), O(log n), O(n), and O(n²)."
Software Engineer,Medium,Explain the difference between BFS and DFS.,"Breadth-First Search (BFS) explores nodes level by level using a queue, whereas Depth-First Search (DFS) explores as deep as possible using a stack or recursion."
Software Engineer,Medium,What are ACID properties in DBMS?,"ACID stands for Atomicity, Consistency, Isolation, and Durability. These properties ensure reliable and consistent database transactions."
Software Engineer,Medium,Explain multithreading.,"Multithreading allows multiple threads to execute concurrently within a process, improving responsiveness and resource utilization."
Software Engineer,Medium,What is deadlock?,Deadlock occurs when two or more processes wait indefinitely for resources held by each other. Prevention techniques include resource ordering and avoiding circular wait.
Software Engineer,Medium,What is dynamic programming?,Dynamic Programming is an optimization technique that solves overlapping subproblems by storing previously computed results to avoid redundant calculations.
Software Engineer,Hard,Design an LRU Cache.,"An LRU Cache can be implemented using a HashMap and a Doubly Linked List, providing O(1) time complexity for both get() and put() operations."
Software Engineer,Hard,How would you design a scalable file storage system?,"A scalable file storage system should include distributed storage, metadata management, load balancing, replication, caching, fault tolerance, and secure access control."
Software Engineer,Hard,Explain CAP Theorem.,"CAP Theorem states that a distributed system can guarantee only two of the following three properties simultaneously: Consistency, Availability, and Partition Tolerance."
Software Engineer,Hard,How would you optimize a slow application?,"Identify bottlenecks using profiling tools, optimize algorithms, improve database queries, implement caching, reduce network latency, and scale services horizontally where necessary."
Software Engineer,Hard,How would you design a real-time messaging application?,"A real-time messaging application should use WebSockets, message queues, distributed databases, authentication, load balancing, caching, and encryption to ensure scalability, reliability, and low latency."
